Classification; Confidence; Direction; Speed in km/h; Time
PKW;9;Richtung B nach A;34;02.02.2020 21:28
Leichtes Nutzfahrzeug;8;Richtung A nach B;46;02.02.2020 21:35
PKW;9;Richtung B nach A;36;02.02.2020 21:51
PKW;8;Richtung A nach B;51;02.02.2020 22:12
LKW;9;Richtung B nach A;37;02.02.2020 22:23
PKW;10;Richtung A nach B;47;02.02.2020 22:33
LKW;8;Richtung A nach B;49;02.02.2020 22:33
PKW;8;Richtung A nach B;48;02.02.2020 22:36
Leichtes Nutzfahrzeug;9;Richtung B nach A;39;02.02.2020 22:43
Leichtes Nutzfahrzeug;8;Richtung A nach B;34;02.02.2020 23:22
LKW;8;Richtung B nach A;34;02.02.2020 23:22
Zweirad;3;Richtung A nach B;50;03.02.2020 01:29
PKW;10;Richtung A nach B;12;03.02.2020 01:35
PKW;10;Richtung A nach B;30;03.02.2020 02:34
Zweirad;3;Richtung A nach B;51;03.02.2020 03:13
Zweirad;1;Richtung A nach B;50;03.02.2020 03:29
Zweirad;3;Richtung A nach B;51;03.02.2020 03:37
Zweirad;5;Richtung A nach B;47;03.02.2020 03:53
PKW;6;Richtung A nach B;49;03.02.2020 04:19
Zweirad;9;Richtung B nach A;32;03.02.2020 04:22
PKW;8;Richtung A nach B;46;03.02.2020 04:24
PKW;9;Richtung A nach B;45;03.02.2020 04:36
LKW mit Anhänger;9;Richtung A nach B;27;03.02.2020 04:39
PKW;9;Richtung A nach B;45;03.02.2020 04:42
Zweirad;9;Richtung A nach B;22;03.02.2020 04:42
PKW;9;Richtung A nach B;32;03.02.2020 04:45
PKW;9;Richtung A nach B;38;03.02.2020 04:46
PKW;9;Richtung A nach B;39;03.02.2020 04:46
PKW;8;Richtung A nach B;41;03.02.2020 04:47
PKW;9;Richtung A nach B;38;03.02.2020 04:47
Zweirad;7;Richtung A nach B;42;03.02.2020 04:49
PKW;9;Richtung A nach B;41;03.02.2020 04:52
Leichtes Nutzfahrzeug;7;Richtung A nach B;51;03.02.2020 04:52
PKW;9;Richtung A nach B;44;03.02.2020 04:53
PKW;9;Richtung B nach A;33;03.02.2020 04:55
PKW;8;Richtung A nach B;39;03.02.2020 04:55
PKW;10;Richtung A nach B;35;03.02.2020 04:55
PKW;9;Richtung A nach B;43;03.02.2020 04:57
Zweirad;9;Richtung A nach B;30;03.02.2020 04:58
Leichtes Nutzfahrzeug;4;Richtung A nach B;46;03.02.2020 05:03
Leichtes Nutzfahrzeug;8;Richtung A nach B;40;03.02.2020 05:05
PKW;8;Richtung A nach B;41;03.02.2020 05:08
PKW;8;Richtung A nach B;42;03.02.2020 05:10
PKW;9;Richtung A nach B;35;03.02.2020 05:11
Zweirad;9;Richtung A nach B;32;03.02.2020 05:15
PKW;8;Richtung A nach B;43;03.02.2020 05:17
Leichtes Nutzfahrzeug;9;Richtung B nach A;39;03.02.2020 05:19
